Date,Close,Mean,Median,Up/Down,Gain%/Loss%
1964-11-05,873.54,694.25,690.98,-0.28,-0.03
1964-11-06,876.87,694.4,691.01,3.33,0.38
1964-11-09,874.57,694.55,691.14,-2.3,-0.26
1964-11-10,870.64,694.69,691.27,-3.93,-0.45
1964-11-11,873.59,694.84,691.57,2.95,0.34
1964-11-12,874.62,694.98,691.86,1.03,0.12
1964-11-13,874.11,695.13,691.94,-0.51,-0.06
1964-11-16,880.1,695.28,692.02,5.99,0.69
1964-11-17,885.39,695.43,692.04,5.29,0.6
1964-11-18,891.71,695.59,692.06,6.32,0.71
1964-11-19,888.71,695.75,692.12,-3.0,-0.34
1964-11-20,890.72,695.91,692.19,2.01,0.23
1964-11-23,889.29,696.07,692.22,-1.43,-0.16
1964-11-24,887.61,696.22,692.25,-1.68,-0.19
1964-11-25,882.4,696.37,692.31,-5.21,-0.59
1964-11-27,882.12,696.52,692.37,-0.28,-0.03
1964-11-30,875.43,696.67,692.55,-6.69,-0.76
1964-12-01,864.43,696.8,692.73,-11.0,-1.26
1964-12-02,867.16,696.94,692.75,2.73,0.32
1964-12-03,870.79,697.08,692.77,3.63,0.42
1964-12-04,870.93,697.22,692.87,0.14,0.02
1964-12-07,873.99,697.36,692.96,3.06,0.35
1964-12-08,870.69,697.5,692.98,-3.3,-0.38
1964-12-09,863.81,697.64,693.0,-6.88,-0.79
1964-12-10,863.14,697.77,693.08,-0.67,-0.08
1964-12-11,864.34,697.9,693.16,1.2,0.14
1964-12-14,860.65,698.04,693.18,-3.69,-0.43
1964-12-15,857.45,698.16,693.2,-3.2,-0.37
1964-12-16,860.08,698.29,693.46,2.63,0.31
1964-12-17,863.57,698.43,693.72,3.49,0.41
1964-12-18,868.73,698.56,693.81,5.16,0.6
1964-12-21,869.74,698.7,693.89,1.01,0.12
1964-12-22,870.36,698.84,693.99,0.62,0.07
1964-12-23,868.02,698.97,694.09,-2.34,-0.27
1964-12-24,868.16,699.11,694.1,0.14,0.02
1964-12-28,867.01,699.24,694.11,-1.15,-0.13
1964-12-29,862.18,699.37,694.13,-4.83,-0.56
1964-12-30,868.69,699.5,694.15,6.51,0.76
1964-12-31,874.13,699.64,694.17,5.44,0.63
1965-01-04,869.78,699.78,694.19,-4.35,-0.5
1965-01-05,875.86,699.92,694.22,6.08,0.7
1965-01-06,879.68,700.06,694.25,3.82,0.44
1965-01-07,884.36,700.21,694.26,4.68,0.53
1965-01-08,882.6,700.35,694.27,-1.76,-0.2
1965-01-11,883.22,700.49,694.37,0.62,0.07
1965-01-12,885.89,700.64,694.47,2.67,0.3
1965-01-13,886.85,700.79,694.54,0.96,0.11
1965-01-14,887.18,700.94,694.61,0.33,0.04
1965-01-15,891.15,701.09,694.74,3.97,0.45
1965-01-18,895.21,701.24,694.87,4.06,0.46
1965-01-19,896.27,701.39,694.88,1.06,0.12
1965-01-20,895.31,701.54,694.9,-0.96,-0.11
1965-01-21,893.26,701.7,695.13,-2.05,-0.23
1965-01-22,893.59,701.85,695.37,0.33,0.04
1965-01-25,896.46,702.0,695.4,2.87,0.32
1965-01-26,897.84,702.15,695.43,1.38,0.15
1965-01-27,899.52,702.31,695.44,1.68,0.19
1965-01-28,900.95,702.46,695.46,1.43,0.16
1965-01-29,902.86,702.62,695.63,1.91,0.21
1965-02-01,903.68,702.78,695.81,0.82,0.09
1965-02-02,903.77,702.93,695.86,0.09,0.01
1965-02-03,906.3,703.09,695.9,2.53,0.28
1965-02-04,904.06,703.25,695.96,-2.24,-0.25
1965-02-05,901.57,703.4,696.03,-2.49,-0.28
1965-02-08,897.89,703.56,696.15,-3.68,-0.41
1965-02-09,901.24,703.71,696.28,3.35,0.37
1965-02-10,892.92,703.86,696.35,-8.32,-0.92
1965-02-11,881.88,703.99,696.42,-11.04,-1.24
1965-02-12,888.47,704.14,696.47,6.59,0.75
1965-02-15,885.32,704.28,696.52,-3.15,-0.35
1965-02-16,881.35,704.42,696.52,-3.97,-0.45
1965-02-17,882.93,704.55,696.52,1.58,0.18
1965-02-18,883.69,704.69,696.62,0.76,0.09
1965-02-19,885.61,704.83,696.72,1.92,0.22
1965-02-23,891.96,704.98,696.72,6.35,0.72
1965-02-24,897.84,705.13,696.72,5.88,0.66
1965-02-25,899.9,705.28,696.74,2.06,0.23
1965-02-26,903.48,705.43,696.76,3.58,0.4
1965-03-01,899.76,705.58,696.82,-3.72,-0.41
1965-03-02,901.91,705.73,696.88,2.15,0.24
1965-03-03,900.76,705.88,697.0,-1.15,-0.13
1965-03-04,897.75,706.03,697.12,-3.01,-0.33
1965-03-05,895.98,706.17,697.18,-1.77,-0.2
1965-03-08,896.84,706.32,697.24,0.86,0.1
1965-03-09,894.07,706.46,697.33,-2.77,-0.31
1965-03-10,892.39,706.61,697.41,-1.68,-0.19
1965-03-11,896.51,706.75,697.56,4.12,0.46
1965-03-12,900.33,706.9,697.7,3.82,0.43
1965-03-15,899.85,707.05,697.72,-0.48,-0.05
1965-03-16,898.9,707.19,697.74,-0.95,-0.11
1965-03-17,899.37,707.34,697.79,0.47,0.05
1965-03-18,896.55,707.48,697.83,-2.82,-0.31
1965-03-19,895.79,707.63,698.0,-0.76,-0.08
1965-03-22,896.12,707.77,698.17,0.33,0.04
1965-03-23,898.69,707.92,698.36,2.57,0.29
1965-03-24,900.56,708.06,698.54,1.87,0.21
1965-03-25,898.34,708.21,698.6,-2.22,-0.25
1965-03-26,891.66,708.35,698.66,-6.68,-0.74
1965-03-29,887.82,708.48,698.7,-3.84,-0.43
1965-03-30,889.05,708.62,698.74,1.23,0.14
1965-03-31,889.05,708.76,698.86,0.0,0.0
1965-04-01,890.33,708.89,698.98,1.28,0.14
1965-04-02,893.38,709.03,699.31,3.05,0.34
1965-04-05,893.23,709.17,699.63,-0.15,-0.02
1965-04-06,891.9,709.31,699.67,-1.33,-0.15
1965-04-07,892.94,709.45,699.72,1.04,0.12
1965-04-08,897.9,709.59,699.78,4.96,0.56
1965-04-09,901.29,709.74,699.83,3.39,0.38
1965-04-12,906.36,709.88,699.91,5.07,0.56
1965-04-13,908.01,710.03,700.0,1.65,0.18
1965-04-14,912.86,710.19,700.14,4.85,0.53
1965-04-15,911.91,710.34,700.28,-0.95,-0.1
1965-04-19,912.76,710.49,700.43,0.85,0.09
1965-04-20,911.96,710.64,700.59,-0.8,-0.09
1965-04-21,910.71,710.79,700.6,-1.25,-0.14
1965-04-22,915.06,710.94,700.6,4.35,0.48
1965-04-23,916.41,711.1,700.64,1.35,0.15
1965-04-26,916.86,711.25,700.68,0.45,0.05
1965-04-27,918.16,711.41,700.7,1.3,0.14
1965-04-28,918.86,711.56,700.72,0.7,0.08
1965-04-29,918.71,711.72,700.72,-0.15,-0.02
1965-04-30,922.31,711.87,700.72,3.6,0.39
1965-05-03,922.11,712.03,700.79,-0.2,-0.02
1965-05-04,928.22,712.19,700.86,6.11,0.66
1965-05-05,932.22,712.35,700.87,4.0,0.43
1965-05-06,933.52,712.52,700.88,1.3,0.14
1965-05-07,932.52,712.68,700.89,-1.0,-0.11
1965-05-10,931.47,712.84,700.9,-1.05,-0.11
1965-05-11,930.92,713.01,701.0,-0.55,-0.06
1965-05-12,934.17,713.17,701.09,3.25,0.35
1965-05-13,938.87,713.34,701.11,4.7,0.5
1965-05-14,939.62,713.5,701.13,0.75,0.08
1965-05-17,930.67,713.67,701.13,-8.95,-0.95
1965-05-18,930.62,713.83,701.14,-0.05,-0.01
1965-05-19,932.12,713.99,701.17,1.5,0.16
1965-05-20,927.27,714.14,701.21,-4.85,-0.52
1965-05-21,922.01,714.3,701.28,-5.26,-0.57
1965-05-24,914.21,714.45,701.35,-7.8,-0.85
1965-05-25,921.0,714.6,701.46,6.79,0.74
1965-05-26,917.16,714.75,701.57,-3.84,-0.42
1965-05-27,913.22,714.89,701.63,-3.94,-0.43
1965-05-28,918.04,715.04,701.69,4.82,0.53
1965-06-01,908.53,715.18,701.84,-9.51,-1.04
1965-06-02,904.06,715.32,701.98,-4.47,-0.49
1965-06-03,899.22,715.46,701.98,-4.84,-0.54
1965-06-04,900.87,715.59,701.98,1.65,0.18
1965-06-07,902.15,715.73,702.05,1.28,0.14
1965-06-08,889.05,715.86,702.12,-13.1,-1.45
1965-06-09,879.84,715.98,702.27,-9.21,-1.04
1965-06-10,876.49,716.09,702.43,-3.35,-0.38
